授業コード,曜日,時限,学部,授業名,学期,担当教員,配当年次,単位数,詳細URL,みんキャン検索LINK
FS00,木,4,商学部,健康・スポーツⅣ　フットサル,秋学期,申　恩真,2～4年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9227&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E7%94%B3
FS01,火,1,商学部,健康・スポーツⅣ　バドミントン,秋学期,菅田　真理,2～4年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9226&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E8%8F%85%E7%94%B0
FS02,火,4,商学部,健康・スポーツⅣ　テニス,秋学期,長澤　純一,2～4年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9225&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%95%B7%E6%BE%A4
FS03,火,3,商学部,健康・スポーツⅣ　フェンシング,秋学期,冨田　智子,2～4年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9224&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%86%A8%E7%94%B0
FS04,火,2,商学部,健康・スポーツⅣ　フェンシング,秋学期,冨田　智子,2～4年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9223&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%86%A8%E7%94%B0
SS00,火,2,商学部,健康・スポーツⅢ　ベースボール型スポーツ,春学期,長澤　純一,2～4年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9222&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%95%B7%E6%BE%A4
SS01,水,2,商学部,健康・スポーツⅢ　バランスエクササイズ,春学期,竹内　敦,2～4年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9221&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E7%AB%B9%E5%86%85
SS02,火,4,商学部,健康・スポーツⅢ　卓球,春学期,長澤　純一,2～4年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9220&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%95%B7%E6%BE%A4
SS03,火,3,商学部,健康・スポーツⅢ　オールラウンドスポーツ,春学期,長澤　純一,2～4年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9219&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%95%B7%E6%BE%A4
FS05,不明,不明,商学部,健康・スポーツⅡ　ＲＨ１組,秋学期,宮崎　伸一,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9218&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%AE%AE%E5%B4%8E
FS06,金,1,商学部,健康・スポーツⅡ　オルタナティブスポーツ,秋学期,今村　貴幸,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9217&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E4%BB%8A%E6%9D%91
FS07,火,3,商学部,健康・スポーツⅡ　オルタナティブスポーツ【アクティブ】,秋学期,丸山　伸也,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9216&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E4%B8%B8%E5%B1%B1
